E,f1,f2
598.257,4.25782,0.34655
607.933,4.25382,0.336275
617.766,4.24986,0.326305
627.758,4.24601,0.31663
637.912,4.24229,0.307242
648.229,4.23849,0.297321
658.714,4.23444,0.28772
669.368,4.22972,0.27843
680.195,4.22459,0.270148
691.196,4.22029,0.262802
702.376,4.21661,0.255654
713.736,4.2131,0.247975
725.28,4.20947,0.240525
737.011,4.20574,0.233102
748.932,4.20199,0.225907
761.045,4.19823,0.218934
773.354,4.19446,0.212177
785.863,4.19072,0.205628
798.573,4.187,0.199281
811.49,4.18331,0.193131
824.615,4.17967,0.18717
837.952,4.17606,0.181392
851.505,4.17249,0.175794
865.278,4.16897,0.170368
879.273,4.16547,0.16511
893.495,4.16203,0.160057
907.946,4.15866,0.15516
922.631,4.1554,0.150411
937.554,4.1522,0.145809
952.719,4.14905,0.14125
968.128,4.14591,0.136834
983.787,4.1428,0.132557
999.699,4.13974,0.128412
1015.87,4.13672,0.124398
1032.3,4.13375,0.120509
1049.0,4.13082,0.116741
1065.96,4.12794,0.113091
1083.2,4.12511,0.109556
1100.72,4.12233,0.106131
1118.53,4.1196,0.102813
1136.62,4.11692,0.0995984
1155.0,4.11429,0.0964847
1173.68,4.1117,0.0934681
1192.67,4.10917,0.0905461
1211.96,4.10668,0.0877153
1231.56,4.10424,0.084973
1251.48,4.10185,0.0823165
1271.72,4.09951,0.079743
1292.29,4.09722,0.0772499
1313.19,4.09497,0.0748349
1334.43,4.09277,0.0724952
1356.01,4.09061,0.0702288
1377.95,4.08851,0.0680301
1400.23,4.08644,0.0659001
1422.88,4.08442,0.0638369
1445.9,4.08245,0.0618382
1469.28,4.08052,0.0599022
1493.05,4.07864,0.0580268
1517.2,4.07683,0.05621
1541.73,4.07504,0.0543948
1566.67,4.07327,0.0526382
1592.01,4.07153,0.0509382
1617.76,4.06982,0.0492933
1643.93,4.06814,0.0477014
1670.52,4.0665,0.0461609
1697.53,4.06489,0.0446702
1724.99,4.06331,0.0432276
1752.89,4.06176,0.0418316
1781.24,4.06025,0.0404807
1810.05,4.05877,0.0391734
1839.33,4.05733,0.0379083
1869.08,4.05592,0.0366841
1899.31,4.05453,0.0354994
1930.03,4.05319,0.034353
1961.25,4.05187,0.0332436
1992.97,4.05059,0.03217
2025.2,4.04935,0.0311311
2057.96,4.04813,0.0300957
2091.24,4.04693,0.0290947
2125.07,4.04575,0.028127
2159.44,4.0446,0.0271914
2194.37,4.04346,0.026287
2229.86,4.04236,0.0254127
2265.93,4.04127,0.0245675
2302.57,4.04021,0.0237503
2339.82,4.03918,0.0229604
2377.66,4.03817,0.0221967
2416.12,4.03718,0.0214584
2455.2,4.03621,0.0207447
2494.91,4.03527,0.0200547
2535.26,4.03435,0.0193877
2576.27,4.03345,0.0187429
2617.94,4.03257,0.0181195
2660.28,4.03171,0.0175168
2703.31,4.03088,0.0169342
2747.03,4.03006,0.0163709
2791.46,4.02926,0.0158264
2836.61,4.02849,0.0153
2882.49,4.02773,0.0147911
2929.11,4.027,0.0142992
2976.49,4.02628,0.0138236
3024.63,4.02559,0.0133638
3073.55,4.02491,0.0129072
3123.26,4.02424,0.0124663
3173.78,4.02359,0.0120403
3225.11,4.02295,0.011629
3277.28,4.02233,0.0112317
3330.29,4.02172,0.010848
3384.15,4.02113,0.0104774
3438.89,4.02055,0.0101194
3494.51,4.01998,0.00977365
3551.03,4.01943,0.00943974
3608.46,4.0189,0.00911724
3666.83,4.01837,0.00880575
3726.13,4.01786,0.00850491
3786.4,4.01736,0.00821432
3847.64,4.01688,0.00793369
3909.88,4.01641,0.00766264
3973.12,4.01595,0.00740085
4037.38,4.0155,0.00714801
4102.68,4.01506,0.0069038
4169.04,4.01464,0.00666401
4236.47,4.01423,0.00643256
4304.99,4.01382,0.00620915
4374.62,4.01343,0.0059935
4445.37,4.01304,0.00578535
4517.27,4.01267,0.00558442
4590.34,4.0123,0.00539045
4664.58,4.01195,0.00520323
4740.03,4.0116,0.00502252
4816.7,4.01126,0.00484809
4894.6,4.01093,0.00467971
4973.77,4.01061,0.00451716
5054.21,4.0103,0.00436028
5135.96,4.01,0.00420884
5219.03,4.0097,0.00406267
5303.45,4.00941,0.00391977
5389.23,4.00913,0.00378191
5476.39,4.00886,0.00364888
5564.97,4.0086,0.00352054
5654.98,4.00834,0.00339671
5746.44,4.00808,0.00327724
5839.39,4.00784,0.00316197
5933.83,4.0076,0.00305075
6029.81,4.00737,0.00294344
6127.33,4.00714,0.00283992
6226.44,4.00692,0.00274003
6327.15,4.00671,0.00264365
6429.48,4.0065,0.00254975
6533.48,4.0063,0.00245918
6639.15,4.0061,0.00237183
6746.53,4.00591,0.00228759
6855.65,4.00572,0.00220633
6966.54,4.00554,0.00212796
7079.21,4.00536,0.00205238
7193.71,4.00519,0.00197947
7310.07,4.00502,0.00190916
7428.3,4.00485,0.00184135
7548.45,4.00469,0.00177595
7670.54,4.00454,0.00171287
7794.6,4.00439,0.00165202
7920.68,4.00424,0.00159334
8048.79,4.0041,0.00153675
8178.97,4.00396,0.00148216
8311.26,4.00383,0.00142952
8445.68,4.0037,0.00137819
8582.29,4.00357,0.0013287
8721.1,4.00345,0.00128099
8862.16,4.00333,0.00123499
9005.49,4.00321,0.00119064
9151.15,4.0031,0.00114789
9299.16,4.00299,0.00110667
9449.57,4.00288,0.00106693
9602.41,4.00277,0.00102862
9757.72,4.00267,0.000991686
9915.54,4.00257,0.000956077
10075.9,4.00248,0.000921746
10238.9,4.00238,0.000888646
10404.5,4.00229,0.000856737
10572.8,4.00221,0.000825973
